Time (s),PWM (%),Speed (RPM)
0.051,60.0,22.29
0.101,60.0,42.86
0.152,60.0,48.0
0.202,60.0,49.71
0.252,60.0,51.43
0.302,60.0,51.43
0.352,60.0,49.71
0.402,60.0,51.43
0.453,60.0,49.71
0.503,60.0,51.43
0.553,60.0,49.71
0.603,60.0,51.43
0.653,60.0,51.43
0.704,60.0,49.71
0.754,60.0,51.43
0.804,60.0,49.71
0.854,60.0,51.43
0.904,60.0,49.71
0.954,60.0,51.43
1.005,60.0,51.43
1.055,60.0,49.71
1.105,60.0,51.43
1.155,60.0,51.43
1.206,60.0,49.71
1.257,60.0,51.43
1.307,60.0,51.43
1.357,60.0,49.71
1.407,60.0,51.43
1.458,60.0,51.43
1.509,60.0,51.43
1.559,60.0,49.71
1.609,60.0,51.43
1.659,60.0,49.71
1.709,60.0,51.43
1.759,60.0,49.71
1.809,60.0,51.43
1.86,60.0,49.71
1.91,60.0,51.43
1.96,60.0,51.43
2.01,60.0,49.71
2.06,60.0,51.43
2.11,60.0,51.43
2.16,60.0,49.71
2.211,60.0,49.71
2.261,60.0,51.43
2.311,60.0,51.43
2.361,60.0,49.71
2.411,60.0,51.43
2.461,60.0,49.71
2.512,60.0,51.43
2.562,60.0,49.71
2.612,60.0,51.43
2.662,60.0,49.71
2.712,60.0,51.43
2.762,60.0,51.43
2.812,60.0,49.71
2.863,60.0,51.43
2.913,60.0,51.43
2.963,60.0,49.71
3.013,60.0,51.43
