Time (s),PWM (%),Speed (RPM)
0.051,80.0,29.14
0.102,80.0,60.0
0.153,80.0,68.57
0.204,80.0,70.29
0.255,80.0,70.29
0.306,80.0,70.29
0.357,80.0,70.29
0.408,80.0,70.29
0.459,80.0,70.29
0.509,80.0,72.0
0.559,80.0,68.57
0.61,80.0,72.0
0.66,80.0,70.29
0.71,80.0,70.29
0.761,80.0,72.0
0.811,80.0,70.29
0.861,80.0,70.29
0.912,80.0,70.29
0.963,80.0,72.0
1.014,80.0,70.29
1.065,80.0,70.29
1.116,80.0,70.29
1.167,80.0,70.29
1.218,80.0,70.29
1.269,80.0,68.57
1.319,80.0,72.0
1.37,80.0,70.29
1.422,80.0,72.0
1.472,80.0,70.29
1.523,80.0,70.29
1.574,80.0,72.0
1.625,80.0,70.29
1.677,80.0,70.29
1.728,80.0,70.29
1.778,80.0,70.29
1.828,80.0,72.0
1.879,80.0,70.29
1.93,80.0,68.57
1.981,80.0,72.0
2.031,80.0,70.29
